epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5,0.6932794898748398,0.000133432,0.5185185074806213,0.6930263638496399
1,0.45703125,0.6934398412704468,0.000266764,0.48148149251937866,0.6932192444801331
2,0.484375,0.6932548508048058,0.000400096,0.5185185074806213,0.6930276155471802
3,0.48828125,0.6946777775883675,0.000533428,0.5185185074806213,0.6927481889724731
4,0.5,0.6929684057831764,0.00066676,0.5185185074806213,0.6930187344551086
5,0.46484375,0.6934385746717453,0.000800092,0.48148149251937866,0.6934393644332886
6,0.48046875,0.6930395290255547,0.000933424,0.4444444477558136,0.6928915977478027
7,0.5,0.6925118193030357,0.001066756,0.48148149251937866,0.6931622624397278
8,0.5390625,0.6907720938324928,0.001200088,0.48148149251937866,0.6922233700752258
9,0.58203125,0.6837787330150604,0.00133342,0.5185185074806213,0.6927852034568787
10,0.58203125,0.6765079274773598,0.001466752,0.5185185074806213,0.6838499903678894
11,0.5859375,0.6852489113807678,0.001600084,0.5555555820465088,0.6755528450012207
12,0.6015625,0.6694399863481522,0.001733416,0.6296296119689941,0.6618064641952515
13,0.58203125,0.6607655063271523,0.001866748,0.5925925970077515,0.6507049798965454
14,0.6171875,0.6529272645711899,0.00200008,0.6296296119689941,0.6632237434387207
15,0.6015625,0.6583952084183693,0.002133412,0.5555555820465088,0.6424078941345215
16,0.6328125,0.6431424021720886,0.002266744,0.5925925970077515,0.655297040939331
17,0.64453125,0.6393417418003082,0.002400076,0.5925925970077515,0.6637315154075623
18,0.66796875,0.614459328353405,0.002533408,0.5185185074806213,0.6694009304046631
19,0.64453125,0.6123973056674004,0.00266674,0.5555555820465088,0.6826462745666504
20,0.6328125,0.6127097308635712,0.002800072,0.5555555820465088,0.6723207831382751
21,0.6875,0.6093381345272064,0.002933404,0.5925925970077515,0.6631695032119751
22,0.671875,0.6060547530651093,0.003066736,0.5555555820465088,0.6751365661621094
23,0.640625,0.6284661442041397,0.003200068,0.5555555820465088,0.6611517667770386
24,0.65234375,0.6380293369293213,0.0033334,0.5555555820465088,0.659707248210907
25,0.64453125,0.6438985168933868,0.003466732,0.6296296119689941,0.6605793833732605
26,0.6953125,0.6074052825570107,0.003600064,0.6666666865348816,0.6457657814025879
27,0.6484375,0.6033980250358582,0.003733396,0.4444444477558136,0.6707528233528137
